maker,model,mileage,manufacture_year,engine_displacement,engine_power,body_type,color_slug,stk_year,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,price_eur
citroen,jumper,65000.0,2011.0,2198.0,96.0,transporter,beige,2017.0,man,4.0,3.0,diesel,2016-01-10 16:32:24.904155+00,2016-07-03 18:41:07.951546+00,11950.0
opel,insignia,66000.0,2009.0,1598.0,132.0,van,grey,2017.0,man,4.0,5.0,gasoline,2016-01-10 16:32:26.131281+00,2016-01-19 21:31:04.079189+00,13000.0
ford,fiesta,194231.0,2003.0,1596.0,74.0,compact,grey,2016.0,man,2.0,5.0,gasoline,2016-01-10 16:32:26.729429+00,2016-07-03 16:59:45.298987+00,2100.0
suzuki,jimny,141228.0,1999.0,1298.0,59.0,van,black,2016.0,man,3.0,4.0,gasoline,2016-01-10 16:32:29.560216+00,2016-01-19 21:31:18.340315+00,3575.0
ford,fiesta,137000.0,2008.0,1299.0,51.0,compact,silver,2017.0,man,3.0,5.0,gasoline,2016-01-10 16:32:32.967536+00,2016-07-03 16:56:31.698714+00,2600.0
fiat,punto,179878.0,2002.0,1242.0,44.0,compact,blue,2016.0,man,2.0,5.0,gasoline,2016-01-10 16:32:33.980705+00,2016-01-19 21:31:37.427558+00,1500.0
mini,cooper-s,15300.0,2012.0,1598.0,135.0,coupe,bronze,2017.0,man,3.0,4.0,gasoline,2016-01-10 16:32:49.927629+00,2016-01-19 21:31:50.672626+00,20490.0
citroen,c1,120000.0,2009.0,998.0,50.0,compact,white,2017.0,man,2.0,4.0,gasoline,2016-01-10 16:33:23.391621+00,2016-01-19 21:31:53.13737+00,3850.0
ford,ka,84087.0,1999.0,1299.0,36.0,compact,violet,2016.0,man,2.0,4.0,gasoline,2016-01-10 16:46:57.917609+00,2016-01-19 21:33:11.912815+00,600.0
suzuki,alto,189023.0,2000.0,993.0,40.0,compact,blue,2016.0,man,2.0,5.0,gasoline,2016-01-10 17:06:32.588134+00,2016-01-19 21:37:55.475378+00,500.0
mercedes-benz,viano,74781.0,2013.0,2987.0,165.0,van,black,2016.0,auto,4.0,7.0,diesel,2016-01-10 17:06:33.867578+00,2016-01-19 21:34:41.657393+00,30990.0
citroen,saxo,130000.0,1999.0,954.0,37.0,compact,blue,2016.0,man,2.0,5.0,gasoline,2016-01-10 17:06:35.716801+00,2016-07-03 17:02:15.025324+00,1150.0
porsche,944,200000.0,1984.0,2449.0,120.0,coupe,red,2016.0,man,2.0,4.0,gasoline,2016-01-10 17:06:37.587129+00,2016-07-03 17:02:16.912156+00,9999.0
fiat,panda,95000.0,1984.0,837.0,25.0,compact,grey,2017.0,man,2.0,5.0,gasoline,2016-01-10 17:06:37.617433+00,2016-07-03 17:02:16.924638+00,3999.0
fiat,stilo,219000.0,2002.0,1242.0,59.0,compact,green,2016.0,man,2.0,5.0,gasoline,2016-01-10 17:24:47.464757+00,2016-01-19 21:36:12.74737+00,1200.0
ford,transit,51000.0,2006.0,2198.0,63.0,transporter,white,2017.0,man,4.0,3.0,diesel,2016-01-10 17:25:29.930692+00,2016-07-03 18:41:03.545214+00,4500.0
ford,c-max,295000.0,2010.0,1997.0,81.0,transporter,black,2016.0,auto,5.0,5.0,diesel,2016-01-10 17:25:31.73011+00,2016-01-19 21:36:51.722861+00,7000.0
opel,corsa,220000.0,2001.0,1199.0,55.0,compact,blue,2016.0,man,4.0,5.0,gasoline,2016-01-10 17:25:34.459458+00,2016-01-19 21:37:02.899158+00,1500.0
suzuki,alto,82999.0,2010.0,996.0,50.0,compact,black,2016.0,man,5.0,5.0,gasoline,2016-01-10 17:25:36.338797+00,2016-01-19 21:37:10.821051+00,4999.0
mini,one,175000.0,2005.0,1598.0,66.0,compact,black,2016.0,man,2.0,4.0,gasoline,2016-01-10 17:25:37.210218+00,2016-01-19 21:37:12.155988+00,5250.0
citroen,c2,141900.0,2009.0,1398.0,50.0,compact,grey,2016.0,man,2.0,4.0,diesel,2016-01-10 17:25:40.258526+00,2016-07-03 18:41:03.991338+00,3990.0
mini,cooper,38500.0,2013.0,1598.0,90.0,convertible,black,2018.0,man,2.0,4.0,gasoline,2016-01-10 17:25:45.104412+00,2016-01-19 21:37:37.175268+00,17500.0
opel,tigra,99090.0,2006.0,1364.0,66.0,convertible,blue,2017.0,man,2.0,2.0,gasoline,2016-01-10 17:25:46.427267+00,2016-07-03 16:59:41.283197+00,4440.0
seat,arosa,205000.0,1999.0,1390.0,44.0,compact,green,2016.0,man,2.0,4.0,gasoline,2016-01-10 17:25:48.086627+00,2016-01-19 21:37:57.580234+00,1000.0
citroen,c1,22926.0,2011.0,998.0,50.0,compact,white,2017.0,man,4.0,4.0,gasoline,2016-01-10 17:44:00.855926+00,2016-01-19 21:38:54.467772+00,6250.0
mazda,rx-8,58000.0,2004.0,1308.0,170.0,coupe,grey,2017.0,man,4.0,4.0,gasoline,2016-01-10 17:44:25.514772+00,2016-01-19 21:39:03.472647+00,6300.0
opel,astra,233000.0,2000.0,1598.0,55.0,compact,green,2016.0,man,4.0,5.0,gasoline,2016-01-10 18:40:28.125416+00,2016-07-03 18:41:44.573614+00,899.0
opel,astra,233000.0,2000.0,1598.0,55.0,compact,green,2016.0,man,4.0,5.0,gasoline,2016-01-10 18:40:28.275918+00,2016-07-03 18:41:44.596696+00,899.0
mini,one,118000.0,2005.0,1598.0,66.0,convertible,yellow,2016.0,man,2.0,4.0,gasoline,2016-01-10 18:40:33.206928+00,2016-01-19 21:42:51.820169+00,7200.0
opel,astra,233000.0,2000.0,1598.0,55.0,compact,green,2016.0,man,4.0,5.0,gasoline,2016-01-10 18:40:33.260791+00,2016-07-03 16:55:53.438269+00,899.0
kia,rio,52000.0,2013.0,1248.0,63.0,van,black,2017.0,man,5.0,5.0,gasoline,2016-01-10 18:40:35.957795+00,2016-01-19 21:43:00.454148+00,15000.0
ford,streetka,84200.0,2004.0,1599.0,70.0,convertible,silver,2017.0,man,2.0,2.0,gasoline,2016-01-10 18:40:36.009002+00,2016-07-03 17:00:20.512195+00,2500.0
seat,ibiza,102865.0,2002.0,1390.0,55.0,compact,blue,2016.0,man,2.0,5.0,gasoline,2016-01-10 18:40:46.847136+00,2016-01-19 21:43:29.336628+00,2950.0
opel,astra,233000.0,2000.0,1598.0,55.0,compact,green,2016.0,man,4.0,5.0,gasoline,2016-01-10 18:40:46.921464+00,2016-07-03 16:56:07.893146+00,899.0
opel,astra,233000.0,2000.0,1598.0,55.0,compact,green,2016.0,man,4.0,5.0,gasoline,2016-01-10 18:40:47.244381+00,2016-07-03 16:56:14.925628+00,899.0
nissan,micra,114526.0,2000.0,1275.0,55.0,compact,grey,2017.0,man,2.0,5.0,gasoline,2016-01-10 18:40:47.777512+00,2016-07-03 17:00:20.664333+00,1700.0
opel,astra,233000.0,2000.0,1598.0,55.0,compact,green,2016.0,man,4.0,5.0,gasoline,2016-01-10 18:40:47.841859+00,2016-07-03 17:07:43.827348+00,899.0
opel,astra,233000.0,2000.0,1598.0,55.0,compact,green,2016.0,man,4.0,5.0,gasoline,2016-01-10 18:40:58.184131+00,2016-07-03 18:41:42.736897+00,899.0
mazda,2,154250.0,2008.0,1998.0,105.0,van,grey,2017.0,man,5.0,7.0,diesel,2016-01-10 18:58:01.970812+00,2016-01-19 21:44:59.044857+00,6500.0
audi,a5,75000.0,2012.0,1968.0,130.0,coupe,black,2017.0,auto,5.0,5.0,diesel,2016-01-10 18:58:03.690603+00,2016-01-19 21:45:40.180081+00,28900.0
fiat,barchetta,95000.0,1998.0,1747.0,96.0,convertible,grey,2017.0,man,2.0,2.0,gasoline,2016-01-10 18:58:04.464631+00,2016-01-19 21:46:10.02804+00,3000.0
smart,fortwo,77000.0,2008.0,799.0,33.0,compact,black,2016.0,auto,2.0,2.0,diesel,2016-01-10 18:58:17.3533+00,2016-01-19 21:45:53.17285+00,4250.0
ford,focus,260533.0,2001.0,1388.0,55.0,compact,black,2016.0,man,2.0,5.0,gasoline,2016-01-10 18:59:08.618698+00,2016-01-19 21:46:10.33885+00,1250.0
seat,ibiza,51500.0,2009.0,1390.0,63.0,van,grey,2017.0,man,4.0,5.0,gasoline,2016-01-10 19:39:39.871454+00,2016-01-19 21:46:33.499442+00,11250.0
opel,zafira,208900.0,2000.0,1995.0,74.0,van,black,2016.0,man,5.0,7.0,diesel,2016-01-10 19:39:40.160315+00,2016-01-19 21:46:33.918013+00,2000.0
ford,s-max,182500.0,2007.0,1997.0,103.0,van,grey,2016.0,man,5.0,5.0,diesel,2016-01-10 19:40:08.321252+00,2016-01-19 21:47:38.443491+00,9350.0
fiat,stilo,137000.0,2004.0,1368.0,70.0,compact,black,2017.0,man,2.0,5.0,gasoline,2016-01-10 20:52:54.696213+00,2016-01-19 21:47:59.977154+00,3995.0
ford,s-max,135000.0,2008.0,1753.0,92.0,van,silver,2017.0,man,5.0,5.0,diesel,2016-01-10 21:14:13.478826+00,2016-01-19 21:49:52.761749+00,8500.0
seat,ibiza,217479.0,2001.0,1896.0,66.0,compact,grey,2016.0,man,2.0,5.0,diesel,2016-01-10 22:07:05.469065+00,2016-01-19 21:50:28.028211+00,1950.0
audi,coupe,19500.0,2015.0,1968.0,135.0,coupe,grey,2018.0,man,2.0,4.0,diesel,2016-01-10 22:07:28.049581+00,2016-01-19 21:51:18.734608+00,33000.0
suzuki,alto,91600.0,2009.0,996.0,50.0,compact,white,2017.0,man,4.0,4.0,gasoline,2016-01-10 22:07:28.115322+00,2016-01-19 21:51:19.015454+00,5900.0
ford,fiesta,68354.0,2005.0,1299.0,51.0,compact,grey,2016.0,man,4.0,5.0,gasoline,2016-01-10 22:32:39.616374+00,2016-07-03 18:42:12.146631+00,3150.0
audi,a5,133000.0,2011.0,1798.0,118.0,coupe,brown,2017.0,man,2.0,4.0,gasoline,2016-01-10 22:32:45.521432+00,2016-01-19 22:06:03.393288+00,19900.0
opel,corsa,95500.0,2006.0,1229.0,59.0,compact,red,2016.0,man,2.0,5.0,gasoline,2016-01-10 22:32:46.794231+00,2016-01-19 22:06:38.812689+00,4150.0
mazda,mx-5,44000.0,1991.0,1598.0,85.0,convertible,white,2018.0,man,2.0,2.0,gasoline,2016-01-10 22:32:48.468705+00,2016-01-19 22:06:43.470785+00,7500.0
ford,focus,241860.0,1999.0,1388.0,55.0,compact,blue,2017.0,man,4.0,5.0,gasoline,2016-01-10 22:32:50.026964+00,2016-01-19 22:06:47.089052+00,1250.0
hyundai,accent,218628.0,2001.0,1341.0,63.0,compact,white,2016.0,man,2.0,5.0,gasoline,2016-01-10 22:33:47.943704+00,2016-01-19 22:07:07.567363+00,1250.0
opel,tigra,150905.0,2004.0,1796.0,92.0,convertible,blue,2017.0,man,2.0,2.0,gasoline,2016-01-10 22:34:46.32585+00,2016-01-19 22:07:09.045312+00,4250.0
suzuki,wagon-r,125000.0,2007.0,998.0,44.0,van,grey,2016.0,man,4.0,5.0,gasoline,2016-01-10 22:35:51.334596+00,2016-01-19 22:07:12.327709+00,3250.0
seat,ibiza,122000.0,2008.0,1390.0,63.0,van,grey,2017.0,man,4.0,5.0,gasoline,2016-01-10 22:46:31.911046+00,2016-01-19 22:07:25.613254+00,6000.0
kia,sportage,174000.0,2007.0,1975.0,104.0,van,black,2017.0,man,4.0,5.0,gasoline,2016-01-10 22:46:33.011012+00,2016-01-19 22:07:28.854373+00,5500.0
opel,zafira,19800.0,2014.0,1956.0,121.0,van,green,2017.0,man,5.0,7.0,diesel,2016-01-10 22:46:33.386367+00,2016-01-19 22:07:29.629913+00,22000.0
nissan,almera,235000.0,1998.0,1392.0,64.0,compact,blue,2016.0,man,2.0,5.0,gasoline,2016-01-10 23:11:45.78015+00,2016-01-19 22:08:33.15813+00,500.0
ford,fiesta,135000.0,2007.0,1299.0,51.0,compact,red,2017.0,man,4.0,5.0,gasoline,2016-01-10 23:11:50.826801+00,2016-01-19 22:08:42.273066+00,3950.0
opel,meriva,134000.0,2005.0,1598.0,74.0,van,black,2016.0,man,4.0,5.0,gasoline,2016-01-10 23:33:34.804179+00,2016-07-03 16:58:21.027689+00,2850.0
audi,coupe,92300.0,2006.0,1984.0,147.0,coupe,black,2016.0,man,2.0,4.0,gasoline,2016-01-10 23:33:35.082611+00,2016-07-03 16:57:08.736874+00,12850.0
toyota,celica,121400.0,2000.0,1794.0,105.0,coupe,silver,2017.0,man,2.0,4.0,gasoline,2016-01-10 23:33:35.612342+00,2016-07-03 16:57:09.23081+00,4500.0
fiat,multipla,185000.0,2001.0,1910.0,81.0,van,blue,2017.0,man,5.0,6.0,diesel,2016-01-10 23:33:36.851161+00,2016-01-25 16:28:35.804118+00,1100.0
citroen,xsara-picasso,178000.0,2006.0,1560.0,66.0,van,silver,2017.0,man,5.0,5.0,diesel,2016-01-10 23:34:17.644608+00,2016-01-19 22:09:29.473547+00,1950.0
audi,a5,155000.0,2008.0,2967.0,176.0,coupe,brown,2016.0,man,2.0,4.0,diesel,2016-01-11 00:05:26.897568+00,2016-01-19 22:10:20.68538+00,18200.0
smart,fortwo,48000.0,2007.0,999.0,62.0,coupe,black,2016.0,auto,2.0,2.0,gasoline,2016-01-11 00:21:42.570703+00,2016-01-19 22:10:18.23868+00,5150.0
audi,coupe,123400.0,2003.0,1781.0,165.0,coupe,silver,2018.0,man,2.0,4.0,gasoline,2016-01-11 01:07:41.194678+00,2016-01-19 22:11:00.343486+00,11990.0
kia,joice,246000.0,2001.0,1997.0,88.0,van,black,2016.0,man,4.0,7.0,gasoline,2016-01-11 02:04:07.938951+00,2016-01-19 22:13:18.501108+00,1300.0
citroen,c2,72780.0,2009.0,1124.0,44.0,compact,white,2016.0,man,2.0,4.0,gasoline,2016-01-11 02:16:42.630614+00,2016-07-03 16:55:35.569151+00,2950.0
ford,galaxy,214000.0,2002.0,1896.0,85.0,van,silver,2017.0,man,4.0,5.0,diesel,2016-01-11 02:30:06.347293+00,2016-01-19 22:14:01.293252+00,2999.0
fiat,idea,129000.0,2005.0,1910.0,74.0,van,silver,2016.0,man,4.0,5.0,diesel,2016-01-11 02:30:06.784972+00,2016-07-03 17:00:30.515449+00,3100.0
smart,fortwo,80000.0,2006.0,698.0,45.0,compact,black,2017.0,auto,2.0,2.0,gasoline,2016-01-11 02:30:09.136855+00,2016-01-19 22:13:27.995476+00,3499.0
opel,combo,192000.0,2004.0,1686.0,48.0,van,blue,2018.0,man,4.0,2.0,diesel,2016-01-11 02:30:15.899877+00,2016-01-19 22:13:34.381879+00,2899.0
audi,s7,30000.0,2012.0,3993.0,309.0,coupe,black,2018.0,auto,4.0,4.0,gasoline,2016-01-11 02:30:38.992211+00,2016-01-19 22:13:36.393967+00,65999.0
suzuki,swift,69992.0,2012.0,1242.0,69.0,compact,silver,2017.0,man,2.0,4.0,gasoline,2016-01-11 03:09:37.238816+00,2016-01-19 22:14:16.044104+00,8700.0
smart,fortwo,27789.0,2005.0,698.0,45.0,compact,black,2017.0,auto,2.0,2.0,gasoline,2016-01-11 03:09:48.181179+00,2016-01-19 22:14:15.465244+00,3700.0
porsche,911,108864.0,2007.0,3824.0,280.0,coupe,black,2018.0,auto,2.0,4.0,gasoline,2016-01-11 03:17:33.937509+00,2016-07-03 16:56:23.451345+00,36999.0
opel,corsa,5564.0,2014.0,1229.0,51.0,compact,white,2017.0,man,4.0,5.0,gasoline,2016-01-11 03:17:34.504763+00,2016-07-03 18:48:34.712349+00,8490.0
ford,fusion,76455.0,2007.0,1596.0,74.0,compact,silver,2017.0,auto,4.0,5.0,gasoline,2016-01-11 03:17:35.750777+00,2016-07-03 18:52:08.030913+00,5999.0
suzuki,swift,7.0,2015.0,1242.0,69.0,compact,grey,2018.0,man,4.0,5.0,gasoline,2016-01-11 03:17:37.478274+00,2016-07-03 16:57:20.502197+00,10799.0
citroen,jumper,65004.0,2011.0,2198.0,74.0,van,white,2018.0,man,4.0,2.0,diesel,2016-01-11 03:34:34.441836+00,2016-07-03 18:52:08.137534+00,9990.0
hyundai,i30,49820.0,2012.0,1396.0,80.0,compact,white,2018.0,man,4.0,5.0,gasoline,2016-01-11 03:34:36.264642+00,2016-07-03 18:52:08.161938+00,9790.0
toyota,prius,145000.0,2012.0,1798.0,73.0,van,silver,2018.0,auto,4.0,7.0,gasoline,2016-01-11 03:34:39.042589+00,2016-07-03 18:39:11.202254+00,15990.0
ford,fiesta,69000.0,2012.0,1399.0,51.0,compact,white,2018.0,man,2.0,2.0,diesel,2016-01-11 03:34:40.460854+00,2016-07-03 18:52:08.203106+00,5831.0
ford,fiesta,40954.0,2006.0,1299.0,51.0,compact,blue,2018.0,man,4.0,5.0,gasoline,2016-01-11 03:34:41.955669+00,2016-01-19 22:14:53.398913+00,4500.0
citroen,c3,69000.0,2011.0,1397.0,70.0,van,grey,2016.0,man,4.0,5.0,gasoline,2016-01-11 03:34:49.124271+00,2016-01-19 22:14:59.708109+00,6990.0
chevrolet,aveo,61000.0,2009.0,1399.0,74.0,compact,orange,2018.0,man,2.0,5.0,gasoline,2016-01-11 03:42:04.83157+00,2016-01-19 22:15:56.650103+00,5900.0
suzuki,swift,116000.0,2008.0,1328.0,68.0,compact,red,2017.0,man,4.0,5.0,gasoline,2016-01-11 03:42:42.994158+00,2016-01-19 22:16:00.601491+00,3999.0
lancia,y,60800.0,2003.0,1242.0,44.0,compact,black,2018.0,man,2.0,5.0,gasoline,2016-01-11 03:43:14.676219+00,2016-07-03 16:56:09.208922+00,2690.0
opel,meriva,48350.0,2005.0,1364.0,66.0,van,silver,2018.0,man,4.0,5.0,gasoline,2016-01-11 03:43:44.098588+00,2016-01-19 22:16:05.584878+00,4590.0
mazda,mpv,193000.0,2001.0,1991.0,88.0,van,black,2016.0,man,4.0,6.0,gasoline,2016-01-11 03:57:44.055849+00,2016-01-19 22:16:29.437661+00,2699.0
citroen,c3,155000.0,2005.0,1360.0,54.0,convertible,grey,2018.0,man,2.0,4.0,gasoline,2016-01-11 03:57:45.685765+00,2016-01-19 22:16:30.676993+00,2999.0
opel,corsa,94000.0,2004.0,1229.0,59.0,compact,silver,2016.0,man,4.0,5.0,gasoline,2016-01-11 03:57:46.187718+00,2016-01-19 22:16:32.534894+00,3499.0
opel,agila,167000.0,2000.0,973.0,43.0,compact,green,2018.0,man,4.0,4.0,gasoline,2016-01-11 03:57:46.353415+00,2016-01-19 22:16:32.899955+00,1100.0
chevrolet,tacuma,128338.0,2006.0,1598.0,79.0,transporter,beige,2016.0,man,5.0,5.0,gasoline,2016-01-11 05:04:13.049086+00,2016-01-19 22:36:09.797731+00,2480.0
porsche,944,271953.0,1989.0,2990.0,155.0,coupe,red,2016.0,man,3.0,4.0,gasoline,2016-01-11 05:36:31.220221+00,2016-01-19 22:37:18.906043+00,16500.0
mazda,premacy,168000.0,2002.0,1998.0,74.0,van,silver,2016.0,man,4.0,5.0,diesel,2016-01-11 06:31:39.652339+00,2016-07-03 17:02:53.10609+00,850.0
smart,fortwo,94000.0,2009.0,999.0,45.0,compact,white,2016.0,auto,2.0,2.0,gasoline,2016-01-11 06:31:39.672268+00,2016-07-03 17:02:53.155958+00,3300.0
honda,prelude,202000.0,1998.0,1997.0,98.0,coupe,silver,2017.0,auto,2.0,4.0,gasoline,2016-01-11 06:31:59.386048+00,2016-01-19 22:39:03.730905+00,2799.0
audi,tt,83000.0,2001.0,1781.0,132.0,convertible,grey,2016.0,man,2.0,2.0,gasoline,2016-01-11 06:53:06.098312+00,2016-01-19 22:39:16.578384+00,5850.0
opel,corsa,242000.0,1999.0,1389.0,66.0,compact,black,2016.0,man,3.0,5.0,gasoline,2016-01-11 08:05:45.721857+00,2016-01-19 22:41:46.873428+00,1200.0
fiat,seicento,144000.0,1998.0,1108.0,40.0,compact,yellow,2016.0,man,2.0,5.0,gasoline,2016-01-11 08:05:46.481933+00,2016-01-19 22:41:47.931553+00,1250.0
audi,coupe,56000.0,2011.0,1984.0,155.0,coupe,white,2016.0,man,2.0,4.0,gasoline,2016-01-11 08:05:51.541586+00,2016-01-19 22:41:55.851741+00,20500.0
opel,corsa,95080.0,2008.0,1248.0,55.0,compact,silver,2017.0,man,4.0,5.0,diesel,2016-01-11 14:33:35.831559+00,2016-01-19 23:09:48.640149+00,4970.0
opel,zafira,155500.0,2006.0,1910.0,110.0,van,gold,2017.0,man,4.0,7.0,diesel,2016-01-11 14:33:41.943639+00,2016-07-03 16:58:38.178127+00,5555.0
nissan,micra,92000.0,2006.0,1240.0,48.0,compact,blue,2017.0,man,2.0,5.0,gasoline,2016-01-11 14:33:42.411383+00,2016-01-19 23:10:19.397588+00,3799.0
hyundai,getz,117800.0,2003.0,1341.0,60.0,compact,black,2018.0,man,2.0,5.0,gasoline,2016-01-11 14:33:42.543636+00,2016-01-19 23:10:19.644672+00,2200.0
citroen,c4-picasso,59000.0,2011.0,1598.0,88.0,van,grey,2018.0,man,4.0,7.0,gasoline,2016-01-11 14:33:44.375841+00,2016-07-03 17:07:50.432735+00,11780.0
fiat,grande-punto,121000.0,2008.0,1910.0,88.0,compact,white,2017.0,man,4.0,5.0,diesel,2016-01-11 14:33:55.755793+00,2016-07-03 16:55:24.267475+00,4580.0
suzuki,swift,94500.0,2007.0,1328.0,68.0,compact,blue,2018.0,man,2.0,4.0,gasoline,2016-01-11 14:33:56.537198+00,2016-07-03 18:40:20.742997+00,3980.0
opel,tigra,99800.0,2005.0,1796.0,92.0,convertible,blue,2018.0,man,2.0,2.0,gasoline,2016-01-11 14:33:56.589797+00,2016-07-03 16:55:24.37812+00,4580.0
ford,fusion,129500.0,2003.0,1388.0,59.0,compact,blue,2017.0,man,4.0,5.0,gasoline,2016-01-11 14:33:56.630781+00,2016-07-03 18:41:10.245948+00,2950.0
ford,grand-c-max,80.0,2015.0,1560.0,85.0,van,grey,2018.0,man,4.0,7.0,diesel,2016-01-11 14:33:59.656532+00,2016-01-19 23:30:18.354699+00,19870.0
bmw,z4,123000.0,2007.0,2996.0,195.0,coupe,grey,2017.0,auto,2.0,2.0,gasoline,2016-01-11 14:34:00.26595+00,2016-07-03 18:52:10.382096+00,14750.0
mitsubishi,l200,40000.0,2012.0,2477.0,131.0,transporter,green,2016.0,man,2.0,4.0,diesel,2016-01-11 14:34:00.965471+00,2016-01-19 23:30:29.474116+00,19000.0
kia,picanto,111535.0,2008.0,1120.0,55.0,compact,red,2017.0,man,5.0,5.0,diesel,2016-01-11 14:34:05.272146+00,2016-01-19 23:30:53.6645+00,4250.0
audi,a4,104500.0,2002.0,2393.0,125.0,convertible,silver,2017.0,auto,2.0,4.0,gasoline,2016-01-11 14:34:06.808233+00,2016-07-03 16:59:43.276372+00,6950.0
citroen,c2,141900.0,2009.0,1398.0,50.0,compact,grey,2016.0,man,2.0,4.0,diesel,2016-01-11 17:11:43.8874+00,2016-07-03 18:44:22.392509+00,3990.0
ford,c-max,92223.0,2013.0,1560.0,85.0,van,black,2017.0,man,5.0,5.0,diesel,2016-01-11 17:34:04.072723+00,2016-01-19 23:38:44.792807+00,13750.0
mazda,323,23000.0,2002.0,1598.0,72.0,compact,grey,2016.0,man,4.0,5.0,gasoline,2016-01-11 17:34:04.558444+00,2016-07-03 17:02:18.013562+00,1400.0
toyota,aygo,25000.0,2011.0,998.0,50.0,compact,blue,2017.0,man,4.0,4.0,gasoline,2016-01-11 20:21:41.197334+00,2016-07-03 17:02:07.22815+00,6500.0
opel,monza,140000.0,1979.0,2800.0,103.0,compact,red,2016.0,man,2.0,4.0,gasoline,2016-01-11 20:21:55.994649+00,2016-07-03 17:02:09.118621+00,2700.0
seat,arosa,103700.0,1999.0,1390.0,44.0,compact,grey,2016.0,man,2.0,4.0,gasoline,2016-01-11 20:21:57.929453+00,2016-01-19 23:59:07.233756+00,1750.0
audi,a3,244791.0,1999.0,1781.0,132.0,compact,red,2016.0,man,2.0,5.0,gasoline,2016-01-11 20:21:58.933823+00,2016-01-19 23:59:09.216675+00,2750.0
fiat,multipla,193021.0,2000.0,1581.0,76.0,van,blue,2016.0,man,4.0,6.0,gasoline,2016-01-11 20:21:59.224027+00,2016-01-19 23:59:10.491765+00,1400.0
seat,altea,266108.0,2006.0,1968.0,103.0,van,silver,2016.0,man,4.0,5.0,diesel,2016-01-11 20:22:00.507503+00,2016-01-19 23:59:11.000687+00,5750.0
ford,c-max,158566.0,2004.0,1798.0,88.0,van,grey,2016.0,man,4.0,5.0,gasoline,2016-01-11 21:52:29.449251+00,2016-07-03 16:55:47.636985+00,4490.0
ford,c-max,158566.0,2004.0,1798.0,88.0,van,grey,2016.0,man,4.0,5.0,gasoline,2016-01-11 21:52:30.4062+00,2016-07-03 17:07:35.706631+00,4490.0
kia,picanto,97899.0,2004.0,1086.0,48.0,compact,orange,2018.0,auto,5.0,5.0,gasoline,2016-01-11 21:52:35.205134+00,2016-01-20 00:02:13.183994+00,2999.0
suzuki,alto,53000.0,2009.0,996.0,50.0,compact,green,2016.0,man,4.0,4.0,gasoline,2016-01-11 21:52:36.175329+00,2016-01-20 00:02:18.393389+00,4950.0
mitsubishi,space,260000.0,2003.0,1870.0,75.0,van,silver,2016.0,man,4.0,5.0,diesel,2016-01-11 22:21:01.811606+00,2016-01-20 00:07:24.454373+00,1500.0
opel,astra,148000.0,2000.0,1796.0,85.0,coupe,grey,2016.0,man,2.0,4.0,gasoline,2016-01-11 22:42:30.701636+00,2016-01-20 00:08:49.872053+00,2650.0
toyota,auris,100.0,2015.0,1364.0,66.0,compact,brown,2018.0,man,5.0,5.0,diesel,2016-01-11 23:40:45.447354+00,2016-01-20 00:12:31.394254+00,19990.0
opel,astra,187000.0,1995.0,1598.0,52.0,convertible,orange,2016.0,man,2.0,4.0,gasoline,2016-01-12 01:48:26.320199+00,2016-01-20 00:42:38.115743+00,899.0
ford,fusion,172000.0,2003.0,1399.0,50.0,compact,green,2016.0,man,4.0,5.0,diesel,2016-01-12 01:48:28.554311+00,2016-07-03 18:41:31.130929+00,1590.0
opel,zafira,109000.0,2011.0,1686.0,92.0,van,black,2016.0,man,4.0,7.0,diesel,2016-01-12 01:49:07.109511+00,2016-07-03 16:56:13.289422+00,8990.0
nissan,nv200,111000.0,2013.0,1461.0,66.0,van,white,2017.0,man,4.0,2.0,diesel,2016-01-12 01:49:07.130222+00,2016-01-20 00:42:42.617378+00,9990.0
opel,zafira,143033.0,2001.0,1796.0,92.0,van,silver,2018.0,man,4.0,7.0,gasoline,2016-01-12 02:08:32.691509+00,2016-01-20 00:43:04.277053+00,2990.0
kia,venga,0.0,2015.0,1591.0,92.0,compact,red,2018.0,man,5.0,5.0,gasoline,2016-01-12 02:08:36.81139+00,2016-01-20 00:43:17.670461+00,14490.0
ford,c-max,82100.0,2009.0,1596.0,74.0,van,black,2018.0,man,5.0,5.0,gasoline,2016-01-12 02:33:09.279844+00,2016-07-03 18:52:01.641193+00,8450.0
opel,meriva,115000.0,2005.0,1364.0,66.0,van,silver,2018.0,man,4.0,5.0,gasoline,2016-01-12 02:33:15.408104+00,2016-07-03 16:57:10.059106+00,3300.0
mazda,2,122000.0,2006.0,1998.0,105.0,van,silver,2017.0,man,4.0,7.0,diesel,2016-01-12 02:33:20.829769+00,2016-01-20 00:43:36.262748+00,6490.0
smart,fortwo,59900.0,2009.0,999.0,52.0,convertible,black,2018.0,auto,2.0,2.0,gasoline,2016-01-12 02:47:36.040825+00,2016-01-20 00:44:00.3213+00,5900.0
smart,fortwo,29500.0,2011.0,999.0,52.0,compact,white,2018.0,auto,2.0,2.0,gasoline,2016-01-12 02:47:36.080378+00,2016-01-20 00:44:00.427856+00,4900.0
smart,fortwo,28500.0,2012.0,999.0,52.0,compact,white,2018.0,auto,2.0,2.0,gasoline,2016-01-12 02:47:37.350163+00,2016-01-20 00:44:01.417697+00,6300.0
