maker,model,mileage,manufacture_year,engine_displacement,engine_power,body_type,color_slug,stk_year,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,price_eur
chevrolet,camaro,14440.0,2015.0,6162.0,318.0,coupe,black,2018.0,man,2.0,4.0,gasoline,2016-01-09 02:30:35.827012+00,2016-01-19 16:11:26.118138+00,37450.0
opel,zafira,63599.0,2008.0,1598.0,77.0,van,silver,2018.0,man,5.0,7.0,gasoline,2016-01-09 02:30:36.521069+00,2016-01-19 16:11:29.388008+00,9900.0
citroen,berlingo,62000.0,2008.0,1560.0,55.0,van,white,2016.0,man,4.0,3.0,diesel,2016-01-09 02:47:42.507705+00,2016-01-19 16:11:47.629115+00,6000.0
kia,picanto,41595.0,2007.0,1086.0,48.0,compact,black,2016.0,man,4.0,5.0,gasoline,2016-01-09 02:47:43.360807+00,2016-07-03 18:44:14.763819+00,2900.0
nissan,micra,38000.0,2009.0,1240.0,48.0,compact,black,2018.0,man,2.0,5.0,gasoline,2016-01-09 02:47:43.833867+00,2016-07-03 18:44:14.793579+00,4950.0
citroen,c3,117000.0,2002.0,1360.0,54.0,compact,green,2018.0,man,4.0,5.0,gasoline,2016-01-09 02:47:43.880668+00,2016-01-19 16:11:49.428007+00,2250.0
chevrolet,spark,69478.0,2010.0,1206.0,60.0,compact,white,2018.0,man,5.0,5.0,gasoline,2016-01-09 02:47:46.463966+00,2016-01-19 16:11:52.389933+00,7450.0
citroen,c1,30000.0,2009.0,998.0,50.0,compact,silver,2018.0,man,4.0,4.0,gasoline,2016-01-09 03:02:02.742974+00,2016-01-19 16:12:11.735663+00,3900.0
ford,fiesta,73464.0,2010.0,1560.0,66.0,compact,white,2017.0,man,2.0,5.0,diesel,2016-01-09 03:02:06.322169+00,2016-07-03 17:01:40.176827+00,6990.0
audi,coupe,179989.0,2003.0,1781.0,110.0,coupe,grey,2016.0,man,2.0,4.0,gasoline,2016-01-09 03:22:53.827831+00,2016-01-19 16:13:02.524714+00,5999.0
